designation,mass_per_m,depth,width,tw,tf,r,depth_between_fillets,Iyy,Izz,iyy_r,izz_r,wplyy,wplzz,area
356 x 368 x 1299,1299,600,476,100,140,15.4,290,755000,254000,21.4,12.4,33200,16700,1655
356 x 368 x 1202,1202,580,471,95,130,15.4,290,664000,229000,20.8,12.2,30000,15200,1531
356 x 368 x 1086,1086,569,454,78,125,15,290,596000,196000,20.7,11.9,27200,13400,1386
356 x 368 x 990,990,550,448,71.9,115,15,290,519000,173000,20.3,11.7,24300,12000,1262
356 x 368 x 900,900,531,442,65.9,106,15,290,450000,153000,19.8,11.6,21600,10700,1149
356 x 368 x 818,818,514,437,60.5,97,15,290,392000,136000,19.4,11.4,19300,9560,1043
356 x 368 x 744,744,498,432,55.6,88.9,15,290,342000,120000,19,11.3,17200,8550,948
356 x 368 x 677,677,483,428,51.2,81.5,15,290,300000,107000,18.6,11.1,15400,7680,863
356 x 368 x 634,633.9,474.6,424,47.6,77,15.2,290.2,275000,98100,18.4,11,14200,7110,808
356 x 368 x 592,592,465,421,45,72.3,15,290,250000,90200,18.2,10.9,13100,6570,755
356 x 368 x 551,551,455.6,418.5,42.1,67.5,15.2,290.2,227000,82700,18,10.9,12100,6060,702
356 x 368 x 509,509,446,416,39.1,62.7,15,290,204000,75400,17.8,10.8,11000,5550,649
356 x 368 x 467,467,436.6,412.2,35.8,58,15.2,290.2,183000,67800,17.5,10.7,10000,5030,595
356 x 368 x 393,393,419,407,30.6,49.2,15.2,290.2,147000,55400,17.1,10.5,8220,4150,501
356 x 368 x 340,339.9,406.4,403,26.6,42.9,15.2,290.2,123000,46900,16.8,10.4,7000,3540,433
356 x 368 x 287,287.1,393.6,399,22.6,36.5,15.2,290.2,99900,38700,16.5,10.3,5810,2950,366
356 x 368 x 235,235.1,381,394.8,18.4,30.2,15.2,290.2,79100,31000,16.3,10.2,4690,2380,299
356 x 368 x 202,201.9,374.6,374.7,16.5,27,15.2,290.2,66300,23700,16.1,9.6,3970,1920,257
356 x 368 x 177,177,368.2,372.6,14.4,23.8,15.2,290.2,57100,20500,15.9,9.54,3460,1670,226
356 x 368 x 153,152.9,362,370.5,12.3,20.7,15.2,290.2,48600,17600,15.8,9.49,2960,1430,195
356 x 368 x 129,129,355.6,368.6,10.4,17.5,15.2,290.2,40200,14600,15.6,9.43,2480,1200,164
305 x 305 x 283,282.9,365.3,322.2,26.8,44.1,15.2,246.7,78900,24600,14.8,8.27,5110,2340,360
305 x 305 x 240,240,352.5,318.4,23,37.7,15.2,246.7,64200,20300,14.5,8.15,4250,1950,306
305 x 305 x 198,198.1,339.9,314.5,19.1,31.4,15.2,246.7,50900,16300,14.2,8.04,3440,1580,252
305 x 305 x 158,158.1,327.1,311.2,15.8,25,15.2,246.7,38700,12600,13.9,7.9,2680,1230,201
305 x 305 x 137,136.9,320.5,309.2,13.8,21.7,15.2,246.7,32800,10700,13.7,7.83,2300,1050,174
305 x 305 x 118,117.9,314.5,307.4,12,18.7,15.2,246.7,27700,9060,13.6,7.77,1960,895,150
305 x 305 x 97,96.9,307.9,305.3,9.9,15.4,15.2,246.7,22200,7310,13.4,7.69,1590,726,123
254 x 254 x 167,167.1,289.1,265.2,19.2,31.7,12.7,200.3,30000,9870,11.9,6.81,2420,1140,213
254 x 254 x 132,132,276.3,261.3,15.3,25.3,12.7,200.3,22500,7530,11.6,6.69,1870,878,168
254 x 254 x 107,107.1,266.7,258.8,12.8,20.5,12.7,200.3,17500,5930,11.3,6.59,1480,697,136
254 x 254 x 89,88.9,260.3,256.3,10.3,17.3,12.7,200.3,14300,4860,11.2,6.55,1220,575,113
254 x 254 x 73,73.1,254.1,254.6,8.6,14.2,12.7,200.3,11400,3910,11.1,6.48,992,465,93.1
203 x 203 x 127,127.5,241.4,213.9,18.1,30.1,10.2,160.8,15400,4920,9.75,5.5,1520,704,162
203 x 203 x 113,113.5,235,212.1,16.3,26.9,10.2,160.8,13300,4290,9.59,5.45,1330,618,145
203 x 203 x 100,99.6,228.6,210.3,14.5,23.7,10.2,160.8,11300,3680,9.44,5.39,1150,534,127
203 x 203 x 86,86.1,222.2,209.1,12.7,20.5,10.2,160.8,9450,3130,9.28,5.34,977,456,110
203 x 203 x 71,71,215.8,206.4,10,17.3,10.2,160.8,7620,2540,9.18,5.3,799,374,90.4
203 x 203 x 60,60,209.6,205.8,9.4,14.2,10.2,160.8,6120,2060,8.96,5.2,656,305,76.4
203 x 203 x 52,52,206.2,204.3,7.9,12.5,10.2,160.8,5260,1780,8.91,5.18,567,264,66.3
203 x 203 x 46,46.1,203.2,203.6,7.2,11,10.2,160.8,4570,1550,8.82,5.13,497,231,58.7
152 x 152 x 51,51.2,170.2,157.4,11,15.7,7.6,123.6,3230,1020,7.04,3.96,438,199,65.2
152 x 152 x 44,44,166,155.9,9.5,13.6,7.6,123.6,2700,860,6.94,3.92,372,169,56.1
152 x 152 x 37,37,161.8,154.4,8,11.5,7.6,123.6,2210,706,6.85,3.87,309,140,47.1
152 x 152 x 30,30,157.6,152.9,6.5,9.4,7.6,123.6,1750,560,6.76,3.83,248,112,38.3
152 x 152 x 23,23,152.4,152.2,5.8,6.8,7.6,123.6,1250,400,6.54,3.7,182,80.1,29.2
